type,title,categories,version,file_urls,version_order
download,Tafsir al-Qaththan - Surah al-Falaq 113 (ar),113 Al-Falaq|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Taisir-ut-Tafsir (Tafsir al-Qaththan) - Ibrahim al-Qaththan,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/113_tafasir_surah_al_falaq_arab_pdf/tafsir-al-qaththan-113-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1FDozeCwXW9titnmnKDQwhrGeIlUyskcp,1
download,Tafsir al-Qasimi (Versi Lain) - Surah al-Falaq 113 (ar),113 Al-Falaq|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qasimi (Mahasin at-Ta'wil) - Muhammad Jamal ad-Din al-Qasimi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/113_tafasir_surah_al_falaq_arab_pdf/tafsir-al-qasimi-versi-lain-113-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1XideFgarW650bsMTkTbUD-FERUZzdr9Q,1
download,Tafsir Adhwa'-ul-Bayan (asy-Syanqithi) - Surah al-Falaq 113 (ar),113 Al-Falaq|Adhwa'-ul-Bayan Fi Tafsir-il-Qur'an - Asy-Syanqithi|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/113_tafasir_surah_al_falaq_arab_pdf/tafsir-asy-syanqithi-113-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1UUuomfkogXc6o3X-CDe9Ef0SPxvL6nGb,1
download,Tafsir Ibni Aliy-iz-Zaid - Surah al-Falaq 113 (ar),113 Al-Falaq|Ibni Aliy-iz-Zaid|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/113_tafasir_surah_al_falaq_arab_pdf/tafsir-ibni-aliy-iz-zaid-113-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1PyibZZLf48zoQZEt-E4ww_HxL7JKwtmf,1
download,Tafsir as-Sulami - Surah al-Falaq 113 (ar),113 Al-Falaq|Haqa'iq-ut-Tafsir - As-Sulami|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/113_tafasir_surah_al_falaq_arab_pdf/tafsir-as-sulami-sh113-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1s8iwW3VybZPb52qJFeFFe2ANTkmeZ6i_,1
