type,title,categories,version,file_urls,version_order
download,Tafsir al-Qasimi - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qasimi (Mahasin at-Ta'wil) - Muhammad Jamal ad-Din al-Qasimi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-al-qasimi-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1DeQgXX8BhdDqqvkYDiQoyN1anwuOW0l8,1
download,Tafsir al-Qaththan - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Taisir-ut-Tafsir (Tafsir al-Qaththan) - Ibrahim al-Qaththan,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-al-qaththan-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1PTJjF9ehbBddtJA2rUWHoydzpRnYJshT,1
download,Tafsir al-Qummi - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qummi - Abil Hasan 'Ali bin Ibrahim al-Qummi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-al-qummi-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1Xb2I0axJVLdSz27VTs6UdgvLNKopqPFu,1
download,Tafsir al-Qusyairi - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Latha'if-ul-Isyarat - Abd-ul-Karim al-Qusyairi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-al-qusyari-sh112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=102XZgkvZi9MfWLa2HORXylXDitlPZAHg,1
download,Tafsir al-Wajiz (al-Wahidi an-Naisaburi) - Surah al-Ikhlash 112 (ar),112 Al-Ikhlash|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Wajiz - Abil Hasan 'Ali bin Ahmad al-Wahidi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/112_tafasir_surah_al_ikhlash_arab_pdf/tafsir-al-wahidi-112-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1reJUa5KqMQmHK-4CdovJfUMn8j9hyrLG,1
