type,title,categories,version,file_urls,version_order
download,Tafsir al-A'qam - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-A'qam - Al-A'qam,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-al-a-qam-zaidi-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1Iwk7bGjLn6TZIGdhNmlRZkxRssYTvXaa,1
download,Tafsir Ma'alim at-Tanzil (al-Baghawi) - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Ma'alim al-Tanzil - Al-Baghawi|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-al-baghawi-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1cliUiQvqEIsKvTsgYWD_Ce-dxfQ1ogn2,1
download,Tafsir Anwar-ut-Tanzil wa Asrar-ut-Ta'wil (al-Baidhawi) - Surah al-Lahab 111 (ar),111 Al-Lahab|Anwar-ut-Tanzil wa Asrar-ut-Ta'wil - Al-Baidhawi|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-al-baidhawi-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1bPh3VlcsCQuqMS-PWuJFYDYHS2r1JA9O,1
download,Tafsir al-Baqa'i - Surah al-Lahab 111 (ar),111 Al-Lahab|Kumpulan Tafsir al-Qur'an|Nadhm-ud-Durar Fi Tanasub-il-Ayati Wa as-Suwar - Al-Baqa'i|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-al-baqa-i-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1cE54RTGz2L-qa6RNxMlFUiiN-JjfyLdV,1
download,Tafsir al-Baqli - Surah al-Lahab 111 (ar),111 Al-Lahab|'Ara'is-il-Bayan Fi Haqa'iq-il-Qur'an - Al-Baqli|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/111_tafasir_surah_al_lahab_arab_pdf/tafsir-al-baqli-111-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1Gwm7xIb27fLeeEQlqTE3koMn68Jkpg5V,1
