type,title,categories,version,file_urls,version_order
download,Tafsir az-Zarkasyi - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir az-Zarkasyi - Badr ad-Din Muhammad bin 'Abdullah Bihadir az-Zarkasyi asy-Syafi'i,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-az-zarkasyi-109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=16GWlhX-vjsnvAG2eh-WjrlGCchsF3q2o,1
download,Tafsir az-Zuhaili (al-Munir) - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Munir - Al-Ustadz ad-Doktor Wahbah az-Zuhaili ,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-az-zuhaili-al-munir-109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1AQMqP6KTSIyC1QfZOVJCZ7bAmZKtVO2U,1
download,Tafsir az-Zuhaili (al-Wasith) - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Wasith - Al-Ustadz ad-Doktor Wahbah az-Zuhaili,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-az-zuhaili-al-wasith-109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1QeDdz_LmpFH1iz9QacfDlN-s5WvEExyj,1
download,Tafsir az-Zamakhsyari - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Kasysyaf - Az-Zamakhsyari,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-az-zamakhsyari-109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1j39kYbWAmFoUNzu79MJP1cIKbNYb9tua,1
download,Tafsir at-Tustari - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an-il-'Adzim - At-Tustari,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-at-tustari-sh109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1zQNLCT7LXRgP2oa4GGdP-8Y4aFvl7UUr,1
