type,title,categories,version,file_urls,version_order
download,Tafsir al-Hawari - al-Ibadhi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Kitab-il-llah-il-'Aziz - Syaikh Hud bin Muhakkam al-Hawari,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-hawari-ibadhi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1vJFDWFyA4WgFah24EVeQdRKK0ZdKcYZ5,1
download,Tafsir ad-Durr-ul-Mashun (al-Halabiy) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Ad-Durr-ul-Mashun fi 'Ulum-il-Kitab-il-Maknun - As-Samin al-Halabiy|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-halabiy-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1yu46iSIjC3lxVIEwBTEqo2WxiMeI7wnp,1
download,Tafsir al-Ashfa (al-Faidh-il-Kasyani) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Ashfa - Al-Faidh-il-Kasyani,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-faidh-il-kasyani-al-ashfa-sy108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=12b2Qa6s-IiJoq6i6lTCNBGyC1s1nmj12,1
download,Tafsir as-Shafi (al-Faidh-il-Kasyani) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir as-Shafi - Al-Faidh-il-Kasyani,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-faidh-il-kasyani-sy108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1n1Yy_e5-WPJ0xq-dV5ADJa0DkGhuBhwo,1
download,Tafsir an-Nahr-ul-Mad (Abi Hayyan) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|An-Nahr-ul-Mad - Abi Hayyan|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-andalusi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=11fVGMYvFTWIYN6-6Uj5Nw9fsR42iAX2c,1
