type,title,categories,version,file_urls,version_order
download,Tafsir al-Mawardi - Surah al-Kafirun 109 (ar),109 Al-Kafirun|An-Nukatu wal 'Uyun (Tafsir al-Mawardi) - Abul Hasan al-Mawardi|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-al-mawardi-109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=17GHGzxi0RDKLQT4o3PgZ4wS4BEyfJPH-,1
download,Tafsir al-Mizan - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Al-Mizan fi Tafsir-il-Qur'an - Muhammad Husain Thabathaba'i|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-al-mizan-sy109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1NYSGLHVDo4GzNfSlMX65KBC0RKF7oYaE,1
download,Tafsir al-Maturidi - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Al-Maturidi (Ta'wilatu Ahl-is-Sunnah) - Muhammad bin Muhammad bin Mahmud al-Maturidi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-al-maturidi-109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1Yw6WCAs3cQp8SyylfYCT3y8RCADvWpNW,1
download,Tafsir al-Makki - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Al-Hidayah Ila Bulugh-in-Nihayah - Makki bin Abi Thalib|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-al-makki-sh109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=11BNYKhHEtc36sB93_scHd-dFNwBrZLkK,1
download,Tafsir al-Khazin - Surah al-Kafirun 109 (ar),109 Al-Kafirun|Kumpulan Tafsir al-Qur'an|Lubab-ut-Ta'wil fi Ma'an-it-Tanzil - Al-Khazin|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/109_tafasir_surah_al_kafirun_arab_pdf/tafsir-al-khazin-109-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1fmYW6yPyfFM7WPIdkc3kXkegh3WsCy2P,1
