type,title,categories,version,file_urls,version_order
download,Tafsir al-A'qam Zaidi - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-A'qam - Al-A'qam,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-a-qam-zaidi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=15IdIPVvMDFldnp0iucFPS6PtopdGahGX,1
download,Tafsir Anwar-ut-Tanzil wa Asrar-ut-Ta'wil (al-Baidhawi) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Anwar-ut-Tanzil wa Asrar-ut-Ta'wil - Al-Baidhawi|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-baidhawi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=178zNvOc2p2Auw4xqbqTcjG_r7QAw4uoT,1
download,Tafsir al-Baqa'i - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nadhm-ud-Durar Fi Tanasub-il-Ayati Wa as-Suwar - Al-Baqa'i|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-baqa-i-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1oVr63r75iPIQDP_OPDqF5msGscBKhA0P,1
download,Tafsir Ma'alim at-Tanzil (al-Baghawi) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Ma'alim al-Tanzil - Al-Baghawi|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-baghawi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1tVj6JehrpFIJql2mJyjRmAOLVuyTXUVf,1
download,Tafsir Ruh-ul-Ma'ani (al-Alusi) - Surah al-Kautsar 108 (ar),108 Al-Kautsar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Ruh-ul-Ma'ani - Al-Alusi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/108_tafasir_surah_al_kautsar_arab_pdf/tafsir-al-alusi-108-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1tyReh75M1r1EUEpTGNnP9vYqwFtuoTlg,1
