type,title,categories,version,file_urls,version_order
download,Tafsir al-Firuz Abadi - Suratu Quraisy 106 (ar),106 Quraisy|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an - Al-Firuz Abadi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-al-firuz-abadi-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1dYWZ6qMNzRk1_e6k4HVQKrPd2hAgcrz8,1
download,Tafsir al-Ashfa (al-Faidh-il-Kasyani) - Suratu Quraisy 106 (ar),106 Quraisy|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Ashfa - Al-Faidh-il-Kasyani,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-al-faidh-il-kasyani-al-ashfa-sy106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=19wtAhFXPQAh8j39maE4rCAiClwUSEItm,1
download,Tafsir al-Baqli - Suratu Quraisy 106 (ar),106 Quraisy|'Ara'is-il-Bayan Fi Haqa'iq-il-Qur'an - Al-Baqli|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-al-baqli-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1IUZwdrWosz2v4ULnkczsbLMi4BjDOebU,1
download,Tafsir Ma'alim at-Tanzil (al-Baghawi) - Suratu Quraisy 106 (ar),106 Quraisy|Kumpulan Tafsir al-Qur'an|Ma'alim al-Tanzil - Al-Baghawi|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-al-baghawi-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=11VkvhhR9jj-iR8nWWmpBtpQH93BvvLG0,1
download,Tafsir al-Baqa'i - Suratu Quraisy 106 (ar),106 Quraisy|Kumpulan Tafsir al-Qur'an|Nadhm-ud-Durar Fi Tanasub-il-Ayati Wa as-Suwar - Al-Baqa'i|Nama Surah|Nama Tafsir,,,
