type,title,categories,version,file_urls,version_order
download,Tafsir Ibni Katsir - Suratu Quraisy 106 (ar),106 Quraisy|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Qur'an-il-'Adzim - Ibni Katsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-ibni-katsir-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1QPRqnSc34hC7xKsURHwwWQ_UtD366361,1
download,Tafsir Aththafayyisy - Suratu Quraisy 106 (ar),106 Quraisy|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Taisir-ut-Tafsir - Muhammad bin Yusuf Aththafayyisy,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-ithfisy-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1X_jgfobTVTgTAJ8lA9B6aaEsqrjW8tBu,1
download,Tafsir Ibni Yasin - Suratu Quraisy 106 (ar),106 Quraisy|At-Tafsir-us-Shahih - Hakamat bin Basyir Yasin|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-ibni-yasin-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1kDNOEEt4GjoqOjDrtCL5tb7w2wruu0HK,1
download,Tafsir Ibni Jauzi - Suratu Quraisy 106 (ar),106 Quraisy|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Zad-ul-Masir fi 'Ilm-it-Tafsir - Ibni Jauzi,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-ibni-jauzi-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1CAS22SPw7VxWxGHYXDs06Ld-h95vyOpb,1
download,Tafsir Ibni Jazzi - Suratu Quraisy 106 (ar),106 Quraisy|At-Tashil li 'Ulum-it-Tanzil - Muhammad bin Ahmad bin Jazzi al-Kalbi Abul-Qasim|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/106_tafasir_surah_quraisy_arab_pdf/tafsir-ibni-jazziy-106-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1nwfGQjAHbq6NVeXitkXoPFgRCQ3i52gF,1
