type,title,categories,version,file_urls,version_order
download,Tafsir Maqatil bin Sulaiman - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir Maqatil bin Sulaiman - Abul Hasan Maqatil bin Sulaiman,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-maqatil-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=16XYkj6-b2OTEAWqGGWU5_IdX7RwGsu45,1
download,Tafsir Marahi Labid - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Marahi Labid / Tafsir al-Munir - Al-‘Allamah asy-Syaikh Muhammad Nawawi al-Jawi (Banten)|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-marahi-labid-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1rvDPIItU8ThTmxzCA2jUM3RyoAlT3ftb,1
download,Tafsir Mujahid - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir al-Imam Mujahid bin Jabr - Mujahid bin Jabr,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-mujahid-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=18RFe2PRkB0NhoOMqvJbVeDXPD-RsOGE1,1
download,Tafsir Fi Zhilal-il-Qur'an (Sayyid Quthb) - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Tafsir fi Dzilal-il-Qur'an - Sayyid Quthb Ibrahim Husain asy-Syadzili,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-sayyid-quthb-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1IWJcsLY0KFo-4RLjD5h8FiBfpOFpGddE,1
