type,title,categories,version,file_urls,version_order
download,Tafsir Ibni Jazzi - Surah al-Ma'un 107 (ar),107 Al-Ma'un|At-Tashil li 'Ulum-it-Tanzil - Muhammad bin Ahmad bin Jazzi al-Kalbi Abul-Qasim|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-ibni-jazziy-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1nwNqwhG33xQV_YfaYnJXaGjd1NljFqX-,1
download,Tafsir Ibni Yasin - Surah al-Ma'un 107 (ar),107 Al-Ma'un|At-Tafsir-us-Shahih - Hakamat bin Basyir Yasin|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-ibni-yasin-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1vinhUy2doRHeG-XNliBeyyi55a_dV8ql,1
download,Tafsir Ibni Ziyad-il-Farra' - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Ma'an-il-Qur'an - Abu Zakariyya Yahya bin Ziyad al-Farra'|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-ibni-ziyad-il-farra-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1_yRu7FQhdR0wvEXPH6gRabajP6Nbnu4z,1
download,Tafsir Imam Ahmad bin 'Umar - Surah al-Ma'un 107 (ar),107 Al-Ma'un|At-Ta'wilat-un-Najmiyyah fi at-Tafsir-il-Isyari-sh-Shufi - Al-Imam Ahmad bin 'Umar|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-imam-ahmad-bin-umar-sh107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=17qxFAREP_0EFMNvoJefjMLbh_gCZQStY,1
download,Tafsir Aththafayyisy - Surah al-Ma'un 107 (ar),107 Al-Ma'un|Kumpulan Tafsir al-Qur'an|Nama Surah|Nama Tafsir|Taisir-ut-Tafsir - Muhammad bin Yusuf Aththafayyisy,,,
version,,,hati senang,/home/hatisenang/public_html/wp-content/uploads/rujukan/tafsir/107_tafasir_surah_al_ma_un_arab_pdf/tafsir-ithfisy-107-ar.pdf,0
version,,,google drive,https://drive.google.com/uc?export=download&id=1l6JpxfqyrjSveiK-W6nxeWecEJJXLzCv,1
